Order,Duplicacy,Repeatation,Sort,Algo
3,0.115820241,0.12495433,1,4
2,0.041666667,0.041666667,0.995833333,4
3,0.273668438,0.668709985,0.999455115,4
3,0.246874479,0.725620937,0.998999833,4
3,0.061685491,0.06342311,1,3
3,0.28630137,0.434246575,0.998630137,4
3,0.140274765,0.156182213,0.999638467,4
3,0.057130721,0.942869279,0.997982372,4
3,0.176845343,0.207601054,0.999560633,4
3,0.299918405,0.551812566,0.999766873,4
3,0.068006182,0.071097372,0.998454405,4
3,0.225132275,0.288888889,0.999470899,4
3,0.200103591,0.243957182,0.999482044,4
2,0.201166181,0.781341108,0.982507289,3
3,0.116766467,0.127245509,0.999251497,4
3,0.297679906,0.565342771,0.999475685,3
3,0.260761347,0.694729136,0.999267936,4
3,0.182149362,0.814663024,0.996812386,4
3,0.257252971,0.704207258,0.999678835,4
2,0.183727034,0.215223097,0.997375328,4
3,0.205169259,0.253888381,0.999542543,4
3,0.253750938,0.342460615,0.999062266,4
3,0.224008916,0.295175927,1,4
3,0.263535032,0.353616924,0.999658781,4
2,0.058628319,0.059734513,0.997787611,4
3,0.289136817,0.442630652,0.99976512,4
3,0.243803332,0.314709468,1,4
3,0.291990669,0.457620529,0.999611198,4
3,0.291200675,0.611626926,0.99957797,4
3,0.283664459,0.433038999,0.999754722,4
3,0.28836425,0.442495784,0.999831366,3
3,0.291105121,0.441633838,0.99979266,4
3,0.26391162,0.371317512,0.999795417,4
3,0.267760323,0.678715418,0.99930488,4
3,0.24795121,0.332189823,0.999809415,4
3,0.206235012,0.779890373,0.998287085,4
2,0.040650407,0.040650407,1,4
3,0.173195876,0.196391753,0.999484536,4
3,0.256379393,0.347616755,0.999037073,4
3,0.274632619,0.404480848,0.999759094,4
3,0.293708131,0.456850125,0.999605937,4
3,0.297637004,0.584213172,0.999497235,4
3,0.118075601,0.881649485,0.998762887,4
3,0.293788637,0.47070945,0.999411245,4
3,0.154176201,0.171052632,0.997997712,4
3,0.273033708,0.388623596,0.999438202,4
3,0.254222731,0.345834526,0.99957057,4
3,0.271863118,0.657414449,0.99904943,4
3,0.107798165,0.118501529,0.999617737,4
2,0.023201856,0.023201856,0.997679814,4
3,0.249598573,0.332560214,0.999643176,4
3,0.215165877,0.771563981,0.998104265,4
3,0.224657917,0.282183748,1,4
3,0.243320363,0.334111543,0.999740597,4
3,0.265376167,0.361065349,1,4
3,0.196979232,0.798825257,0.997482694,4
3,0.155695704,0.842333465,0.996452503,4
3,0.267833554,0.36988111,0.999669749,4
3,0.207474227,0.255154639,0.999742268,4
3,0.193314633,0.236792894,0.999766246,4
3,0.220992028,0.2829938,0.99955713,4
3,0.19434433,0.231771555,0.999445523,4
3,0.263972926,0.364270331,0.999487232,4
3,0.027084542,0.972915458,0.993228864,4
3,0.289501591,0.444175125,0.999394031,4
3,0.07211719,0.92788281,0.998747965,4
3,0.26663781,0.377989395,0.999783573,4
3,0.27366924,0.664567249,0.998984153,4
3,0.296994487,0.550773608,0.999644318,4
3,0.296773319,0.540265727,0.999593275,4
3,0.294658319,0.466098308,0.999866791,4
3,0.289972527,0.463598901,0.999450549,4
3,0.226068459,0.287371882,0.999806614,4
3,0.205220163,0.255628611,0.999800757,4
3,0.106905371,0.120204604,0.999488491,4
3,0.177971948,0.209473442,0.999770062,4
3,0.117754952,0.128026412,0.999633162,4
3,0.23080418,0.747046797,0.998296229,4
3,0.068678915,0.931321085,0.997521143,4
3,0.171953255,0.200751252,0.999165275,4
3,0.098006645,0.102159468,0.99833887,4
3,0.30098787,0.552957359,0.999874953,3
3,0.197758734,0.239068337,0.999121072,4
3,0.211241218,0.259953162,1,4
3,0.303809995,0.537357744,0.99967013,4
3,0.273806856,0.668608559,0.999775935,3
3,0.256744186,0.346976744,0.999379845,4
3,0.016881594,0.983118406,0.992497069,4
3,0.301693335,0.500077676,1,4
3,0.289991748,0.455027702,0.999528469,4
3,0.292682927,0.472560976,0.99949187,4
3,0.121865889,0.87696793,0.998250729,4
3,0.220222591,0.278238219,1,4
3,0.159660469,0.18148747,1,4
3,0.26391244,0.376291044,1,4
3,0.265470379,0.375247394,0.999736113,4
3,0.228663279,0.754018459,0.999585191,4
3,0.266562274,0.383522043,1,4
3,0.250555774,0.335033346,0.999607689,4
3,0.291481687,0.60127636,1,4
3,0.23826395,0.319220549,0.999645704,4
3,0.273195876,0.409149485,0.99871134,4
3,0.297775947,0.581342669,0.998970346,4
3,0.229322034,0.29440678,0.999830508,4
3,0.290225018,0.465521413,0.999395113,4
1,0.012820513,0.012820513,0.974358974,3
3,0.146093523,0.167295963,0.999419111,4
3,0.165957447,0.191962175,0.999527187,4
3,0.2546152,0.355909854,0.999760249,4
3,0.154124022,0.180012041,1,4
3,0.104997707,0.11737735,0.998165979,4
3,0.278756477,0.39626943,0.999585492,4
2,0.008438819,0.008438819,0.987341772,3
3,0.237533623,0.297537761,0.999793089,4
3,0.276317743,0.401633259,0.999703044,4
3,0.242537851,0.317952415,0.999711608,4
3,0.147666864,0.165091553,1,4
