Order,Duplicacy,Repeatation,Sort,Algo
3,0.027930403,0.028846154,0.999542125,4
3,0.014447481,0.014837954,0.999219055,4
3,0.019316493,0.019316493,0.999628529,4
3,0.022719077,0.023440317,0.99963938,4
3,0.015495087,0.015873016,0.999622071,4
3,0.063371356,0.065483735,0.999577524,3
3,0.028678304,0.029093932,0.999168745,3
3,0.011940299,0.011940299,0.998208955,4
3,0.032291133,0.033828806,0.998462327,3
3,0.009032944,0.009032944,1,4
3,0.014342058,0.01470061,0.999641449,4
3,0.018049155,0.018049155,0.999615975,4
3,0.067947838,0.072065889,0.999313658,4
3,0.019586507,0.019586507,0.99945593,4
3,0.01321378,0.013685701,0.999528079,4
3,0.026845638,0.027516779,0.999328859,4
3,0.2696011,0.372306282,0.998624484,4
3,0.019312294,0.019312294,0.999057937,4
3,0.012402551,0.012402551,0.999645641,3
3,0.017907634,0.018378888,0.999057493,3
3,0.016672456,0.017019799,0.999652657,4
3,0.017010936,0.017010936,0.999594978,4
3,0.008385744,0.008385744,1,4
3,0.084486874,0.088305489,0.999045346,3
3,0.300834202,0.586027112,0.998957247,3
3,0.014683735,0.014683735,0.999623494,4
3,0.043515726,0.046531667,0.999138302,4
3,0.033031852,0.033031852,0.999606764,3
3,0.02121539,0.02121539,1,4
3,0.11537133,0.12746114,0.999309154,4
3,0.020301926,0.020301926,0.998958876,4
3,0.03510351,0.03510351,0.999549955,3
3,0.013022003,0.013022003,0.999550965,4
3,0.020833333,0.020833333,0.999606918,4
3,0.030261816,0.030601836,0.99965998,4
3,0.028264758,0.02862254,0.999642218,4
3,0.011655012,0.011655012,0.999067599,4
3,0.015029522,0.015029522,1,4
3,0.050323019,0.051343081,1,4
3,0.017826534,0.018169352,1,4
3,0.040701754,0.04245614,0.999649123,4
3,0.023858494,0.023858494,1,3
3,0.076161462,0.08073115,0.999238385,4
3,0.033755274,0.034458509,0.999648383,3
3,0.05572545,0.058103976,1,4
3,0.146094699,0.164305949,0.999190611,4
3,0.015481017,0.015481017,1,3
3,0.02143663,0.02143663,1,4
3,0.089190499,0.097430926,0.998061076,4
3,0.020768432,0.020768432,0.998961578,4
3,0.013051585,0.013051585,0.998756992,4
3,0.059873117,0.061459159,0.999603489,4
3,0.035415838,0.035813768,0.999602069,4
3,0.027862429,0.02873313,0.99956465,4
3,0.017077799,0.017077799,0.999620493,4
3,0.148903621,0.173890872,1,4
3,0.027721774,0.029233871,0.998991935,4
3,0.095353535,0.097777778,0.99959596,4
3,0.068493151,0.072896282,0.999510763,4
3,0.005963029,0.005963029,1,4
3,0.109677419,0.116715543,1,4
3,0.025725594,0.027044855,0.998680739,3
3,0.116954474,0.125588697,0.999607535,4
3,0.10046729,0.109423676,0.999610592,4
3,0.015881148,0.015881148,0.99897541,4
3,0.280766852,0.667285096,0.997526283,4
3,0.11831761,0.130896226,0.999606918,4
3,0.017130621,0.017130621,1,4
3,0.012870013,0.012870013,0.999571,4
3,0.018231187,0.019006982,1,4
3,0.017494752,0.017844647,1,4
3,0.107563664,0.117445838,1,4
3,0.019269777,0.019269777,1,4
3,0.013234078,0.013647643,1,4
3,0.126748622,0.14370496,1,3
3,0.03375286,0.035469108,1,4
3,0.011965025,0.011965025,0.999079613,4
3,0.015267176,0.015267176,1,4
3,0.066545948,0.070167497,1,4
3,0.024416712,0.024416712,0.999457406,4
3,0.034827714,0.036680252,0.999629492,3
3,0.199426699,0.248566749,0.998771499,4
3,0.142857143,0.160637646,1,3
3,0.018331226,0.018963338,1,4
3,0.033517183,0.033517183,0.999151464,4
3,0.024704619,0.026315789,1,4
3,0.228667665,0.29491018,1,4
3,0.039279869,0.040370977,1,4
3,0.020693512,0.021252796,0.998881432,4
3,0.01287794,0.01343785,1,4
3,0.153526971,0.171046565,1,4
3,0.256853397,0.349225268,0.999404052,3
3,0.012330456,0.012330456,0.999383477,4
3,0.006767309,0.006767309,0.999479438,4
3,0.142337426,0.159618008,1,3
3,0.144709898,0.163481229,0.999317406,4
3,0.030934343,0.031565657,1,4
3,0.006289308,0.006918239,0.998113208,4
3,0.015343562,0.015677118,1,4
3,0.045305932,0.045773003,0.999065857,4
