Order,Duplicacy,Repeatation,Sort,Algo
4,0.0071549036643328056,0.9928450963356672,0.9980196248786222,3
4,0.0008323072011675104,0.9991676927988324,0.9864436539426278,3
4,0.005319577657773837,0.9946804223422262,0.9980857580398163,3
4,0.008156506807310192,0.9918434931926898,0.9985281491475531,3
4,0.0018803859626501623,0.9981196140373498,0.9943695871746933,3
4,0.0045312260578333294,0.9954687739421667,0.9955344438850339,3
4,0.017152741075289482,0.9828472589247105,0.9986066400807188,3
4,0.0027508203588633667,0.9972491796411367,0.9948614117154227,3
4,0.004258082239676336,0.9957419177603236,0.9969656481400547,3
4,0.006631107052426218,0.9933688929475738,0.9984952886970238,3
4,0.001351800791769035,0.998648199208231,0.991942838137948,3
4,0.03496052043502011,0.9650394795649799,0.9981129264537916,4
4,0.007447792978113746,0.9925522070218863,0.9983275913971301,3
4,0.0013093575418994413,0.9986906424581006,0.9862779329608938,3
4,0.0030159655574490984,0.9969840344425509,0.9966925284778904,3
4,0.04300953245574217,0.9569904675442579,0.9981275533363595,4
4,0.04782644424356973,0.9521735557564303,0.9983564795792588,4
4,0.0028009583444252827,0.9971990416555747,0.9956943946110487,3
4,0.003903046072913426,0.9960969539270865,0.9967333201346268,3
4,0.008773351234982291,0.9912266487650178,0.9987962684321396,3
4,0.004752307202715604,0.9952476927972844,0.9959690251405537,3
4,0.0022897149965324026,0.9977102850034676,0.9955086359683403,3
4,0.008565259117082533,0.9914347408829175,0.9968809980806143,3
4,0.05037390943082676,0.9496260905691732,0.9985459077690071,4
4,0.017708046609780714,0.9822919533902192,0.9938526470318377,4
4,0.008009440594556593,0.9919905594054435,0.9968615044692176,3
4,0.004979007008069425,0.9950209929919306,0.9965818102358395,3
4,0.04604002906400687,0.9539599709359932,0.9986128542175837,4
4,0.00991558354549109,0.990084416454509,0.9978369479910415,4
4,0.026362716275483155,0.9736372837245169,0.9976866355005061,4
4,0.008666543445669809,0.9913334565543301,0.997576653728462,3
4,0.009379396592152572,0.9906206034078474,0.9982491793027982,3
4,0.026517861401249582,0.9734821385987504,0.9979491582009825,4
4,0.011676396997497914,0.9883236030025021,0.9974681282020732,3
4,0.0014102755196807961,0.9985897244803192,0.9920772326495981,3
4,0.0033427963966621197,0.9966572036033379,0.9962639334390246,3
4,0.002607184241019699,0.9973928157589803,0.9939809450238187,3
4,0.008142630248529181,0.9918573697514708,0.9971366574950227,4
4,0.020018500509949955,0.9799814994900501,0.998814069875003,4
4,0.0014969848465590531,0.998503015153441,0.9906367834597297,3
