Order,Duplicacy,Repeatation,Sort,Algo
3,0.000457875,0.999542125,0,5
3,0.000390472,0.999609528,0,5
3,0.000371471,0.999628529,0,5
3,0.00036062,0.99963938,0,5
3,0.000377929,0.999622071,0,5
3,0.000422476,0.999577524,0,5
3,0.000415628,0.999584372,0,5
3,0.000597015,0.999402985,0,5
3,0.000512558,0.999487442,0,5
3,0.00053135,0.99946865,0,5
3,0.000358551,0.999641449,0,5
3,0.000384025,0.999615975,0,5
3,0.000343171,0.999656829,0,5
3,0.00054407,0.99945593,0,5
3,0.000471921,0.999528079,0,5
3,0.00033557,0.99966443,0,5
3,0.000458505,0.999541495,0,5
3,0.000471032,0.999528968,0,5
3,0.000354359,0.999645641,0,5
3,0.000471254,0.999528746,0,5
3,0.000347343,0.999652657,0,5
3,0.000405022,0.999594978,0,5
3,0.000419287,0.999580713,0,5
3,0.000477327,0.999522673,0,5
3,0.000521376,0.999478624,0,5
3,0.000376506,0.999623494,0,5
3,0.000430849,0.999569151,0,5
3,0.000393236,0.999606764,0,5
3,0.000359583,0.999640417,0,5
3,0.000345423,0.999654577,0,5
3,0.000520562,0.999479438,0,5
3,0.000450045,0.999549955,0,5
3,0.000449035,0.999550965,0,5
3,0.000393082,0.999606918,0,5
3,0.00034002,0.99965998,0,5
3,0.000357782,0.999642218,0,5
3,0.0004662,0.9995338,0,5
3,0.000536769,0.999463231,0,5
3,0.00034002,0.99965998,0,5
3,0.000342818,0.999657182,0,5
3,0.000350877,0.999649123,0,5
3,0.000411353,0.999588647,0,5
3,0.000380807,0.999619193,0,5
3,0.000351617,0.999648383,0,5
3,0.000339789,0.999660211,0,5
3,0.000404694,0.999595306,0,5
3,0.000368596,0.999631404,0,5
3,0.000376081,0.999623919,0,5
3,0.000484731,0.999515269,0,5
3,0.000519211,0.999480789,0,5
3,0.000621504,0.999378496,0,5
3,0.000396511,0.999603489,0,5
3,0.000397931,0.999602069,0,5
3,0.00043535,0.99956465,0,5
3,0.000379507,0.999620493,0,5
3,0.000509944,0.999490056,0,5
3,0.000504032,0.999495968,0,5
3,0.00040404,0.99959596,0,5
3,0.000489237,0.999510763,0,5
3,0.000596303,0.999403697,0,5
3,0.00058651,0.99941349,0,5
3,0.000659631,0.999340369,0,5
3,0.000392465,0.999607535,0,5
3,0.000389408,0.999610592,0,5
3,0.000512295,0.999487705,0,5
3,0.000618429,0.999381571,0,5
3,0.000393082,0.999606918,0,5
3,0.000428266,0.999571734,0,5
3,0.000429,0.999571,0,5
3,0.000387898,0.999612102,0,5
3,0.000349895,0.999650105,0,5
3,0.000380084,0.999619916,0,5
3,0.000507099,0.999492901,0,5
3,0.000413565,0.999586435,0,5
3,0.000423908,0.999576092,0,5
3,0.000572082,0.999427918,0,5
3,0.000460193,0.999539807,0,5
3,0.000449035,0.999550965,0,5
3,0.000452694,0.999547306,0,5
3,0.000542594,0.999457406,0,5
3,0.000370508,0.999629492,0,5
3,0.0004095,0.9995905,0,5
3,0.000613121,0.999386879,0,5
3,0.000632111,0.999367889,0,5
3,0.000424268,0.999575732,0,5
3,0.000537057,0.999462943,0,5
3,0.000374251,0.999625749,0,5
3,0.000545554,0.999454446,0,5
3,0.000559284,0.999440716,0,5
3,0.00055991,0.99944009,0,5
3,0.000461042,0.999538958,0,5
3,0.000595948,0.999404052,0,5
3,0.000616523,0.999383477,0,5
3,0.000520562,0.999479438,0,5
3,0.000454752,0.999545248,0,5
3,0.000341297,0.999658703,0,5
3,0.000631313,0.999368687,0,5
3,0.000628931,0.999371069,0,5
3,0.000333556,0.999666444,0,5
3,0.000467071,0.999532929,0,5
