Order,Duplicacy,Repeatation,Sort,Algo
2,0.299744898,0.445153061,0.994897959,4
2,0.197080292,0.233576642,0.98540146,4
2,0.194029851,0.23880597,0.992537313,4
2,0.305954825,0.483572895,0.993839836,4
2,0.292792793,0.45045045,0.986486486,4
2,0.206825233,0.78697001,0.995863495,4
2,0.244772448,0.729397294,0.997539975,4
2,0.28,0.465454545,0.985454545,3
2,0.301270417,0.497277677,0.994555354,3
2,0.27593361,0.466804979,0.989626556,4
2,0.279452055,0.676712329,0.994520548,4
2,0.100871731,0.899128269,0.99003736,4
2,0.30116649,0.451749735,1,4
2,0.273972603,0.627853881,0.993150685,3
2,0.296244784,0.584144645,0.998609179,4
2,0.221223022,0.264388489,0.998201439,4
2,0.259923175,0.701664533,0.993597951,4
2,0.268326418,0.680497925,0.990318119,4
2,0.306532663,0.505025126,0.989949749,4
2,0.270921986,0.380141844,0.995744681,4
2,0.250549451,0.345054945,0.995604396,4
2,0.175895765,0.19218241,0.993485342,4
2,0.135025381,0.864974619,0.989847716,4
2,0.264748201,0.352517986,0.997122302,4
2,0.189189189,0.241312741,0.996138996,4
2,0.219827586,0.288793103,0.99137931,4
2,0.268186754,0.675352877,0.997828447,4
2,0.050420168,0.058823529,0.991596639,4
2,0.210084034,0.31092437,1,4
2,0.305732484,0.57537155,0.991507431,3
2,0.290607735,0.582320442,0.99558011,4
2,0.288321168,0.4513382,0.99756691,4
2,0.287787183,0.483675937,0.99879081,4
2,0.1,0.1,1,4
2,0.230174081,0.765957447,0.992263056,4
2,0.265682657,0.67896679,0.995079951,4
2,0.277852349,0.433557047,0.995973154,4
2,0.18574514,0.215982721,0.993520518,4
2,0.205029014,0.251450677,0.998065764,4
2,0.200811359,0.784989858,0.997971602,4
2,0.288732394,0.55399061,0.995305164,3
2,0.166666667,0.216666667,0.994444444,4
2,0.173267327,0.207920792,0.985148515,4
2,0.270299145,0.673076923,0.996794872,4
2,0.297297297,0.584459459,0.998873874,4
2,0.23151751,0.29766537,0.994163424,3
2,0.14532872,0.155709343,0.996539792,3
2,0.123404255,0.131914894,0.995744681,4
2,0.279411765,0.374183007,0.998366013,4
2,0.230038023,0.275665399,1,4
2,0.296954315,0.507614213,0.998730964,4
2,0.121019108,0.133757962,0.987261146,4
2,0.272135417,0.388020833,0.998697917,3
2,0.221350078,0.296703297,0.996860283,4
2,0.203791469,0.251184834,0.995260664,4
2,0.260249554,0.345811052,0.994652406,3
2,0.29066107,0.566631689,0.996852046,4
2,0.007263923,0.992736077,0.826876513,3
2,0.301218162,0.511627907,0.991140642,4
2,0.187725632,0.23465704,0.992779783,4
2,0.196721311,0.790163934,0.990163934,3
2,0.272855134,0.448663854,0.995780591,4
